options,'options'," ""option's""", 'potions', 'option', 'opt ions', 'opt-ions', 'portions'," ""potion's""", 'adoptions'," ""portion's"""," ""adoption's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines,'lines', 'liens'," ""line's""", 'liners', 'linens', 'kines', 'limes', 'lined', 'Ines', 'lies', 'line'," ""Lin's""", 'Linus', 'lanes', 'lings'," ""liner's""", 'lingers', 'lioness', 'loners', 'lens', 'lions', 'loins', 'liner', 'links', 'lints', 'Hines', 'dines', 'fines'," ""lien's""", 'likes', 'linen', 'lives', 'mines', 'nines', 'pines', 'sines', 'tines', 'vines', 'wines', 'zines', 'lingoes'," ""Lane's"""," ""Lina's"""," ""Lon's"""," ""lane's"""," ""ling's"""," ""lion's"""," ""loin's"""," ""loner's"""," ""LAN's"""," ""Len's"""," ""lime's"""," ""Lie's"""," ""Luna's"""," ""Lynne's"""," ""lie's"""," ""Aline's"""," ""Cline's"""," ""Kline's"""," ""linen's"""," ""Lind's"""," ""link's"""," ""lint's"""," ""Linus's"""," ""fine's"""," ""life's"""," ""like's"""," ""lingo's"""," ""mine's"""," ""nine's"""," ""pine's"""," ""sine's"""," ""tine's"""," ""vine's"""," ""wine's"""," ""Lana's"""," ""Lena's"""," ""Leno's"""," ""Lynn's"""," ""lens's""",,,,,,,,,,,,,,,,,,,,
dir,directory,director,direction, 'Dirk', 'dire', 'dirk', 'dirt', 'DI', 'Di', 'Sir', 'fir', 'sir', 'Dr', 'Ir', 'DAR', 'DOE', 'Doe', 'doe', 'doer', 'door', 'dour', 'due', 'DE', 'DUI', 'Du', 'do', 'Dis', 'did', 'dig', 'dim', 'din', 'dip', 'dis', 'div', 'Mir', 'air', 'cir', 'D', 'd', 'DOA', 'Dee', 'Dow', 'dear', 'deer', 'duh', 'duo', 'tie', 'tier', 'tor', 'DA', 'DD', 'Dy', 'Ti', 'dd', 'ti', 'DVR', 'Dix', 'DEA', 'Day', 'day', 'dew', 'tar'," ""Di's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsd,'fad', 'FSF', 'FD', 'SD', 'fused', 'FUD', 'FWD', 'Fed', 'fed', 'fwd', 'BSD', 'LSD', 'fast', 'fest', 'fist', 'FUDs', 'Feds', 'fads', 'feds', 'FDA', 'Fahd', 'fade', 'fess', 'fuss', 'faced', 'fazed', 'fessed', 'fussed'," ""F's""", 'SDI', 'Sid', 'fusty', 'sad', 'sod', 'Fido', 'Ford', 'feed', 'feud', 'food', 'ford', 'fuse', 'Faust', 'feast', 'first', 'foist', 'ST', 'St', 'ft', 'st'," ""fa's"""," ""fad's"""," ""Fe's"""," ""Fed's"""," ""fed's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srciip,'crisp', 'recipe', 'syrup', 'crispy', 'Sirius', 'saris'," ""sari's""", 'series', 'syrups', 'sysop', 'syrupy'," ""Sr's""", 'rasp', 'resp', 'serious', 'grasp', 'serape', 'crisper'," ""Syria's""", 'raspy', 'sires', 'sores'," ""syrup's"""," ""Sara's"""," ""sire's"""," ""sore's"""," ""Zr's"""," ""Sirius's"""," ""series's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snap,'snap', 'snaps', 'SAP', 'nap', 'sap', 'snip', 'snappy', 'soap', 'slap', 'snag', 'swap', 'snipe', 'snoop', 'sunup', 'San', 'snapper', 'spa', 'Sana', 'Snoopy', 'nape', 'neap', 'snippy', 'snoopy', 'NP', 'Np', 'Sn', 'Sp', 'sane'," ""snap's""", 'Sand', 'Sang', 'sand', 'sang', 'sank', 'sans', 'Knapp', 'Sinai', 'snips', 'soapy', 'sonar', 'sniper', 'GNP', 'SOP', 'Sep', 'nip', 'sip', 'sop', 'sup', 'zap', 'Span', 'span'," ""San'a"""," ""San's"""," ""snip's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shottable,'shot table', 'shot-table', 'settable', 'stable', 'portable', 'suitable', 'shuttle', 'notable', 'potable', 'shareable', 'quotable', 'doable', 'shamble', 'stabler', 'shirttail', 'table', 'chortle', 'shortly', 'dutiable', 'stably',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirs,directorys, 'dirks', 'Dis', 'Sirs', 'dis', 'firs', 'sirs', 'Dir', 'IRS'," ""Di's""", 'Dias'," ""Dior's"""," ""die's""", 'doers', 'does', 'doors', 'dues', 'DOS', 'dais', 'dos', 'dibs', 'digs', 'dims', 'dins', 'dips', 'Dirk', 'airs', 'dire', 'dirk', 'dirt'," ""Dis's""", 'dears'," ""dis's"""," ""do's""", 'doss', 'duos', 'tiers', 'ties', 'tors'," ""D's""", 'DDS', 'dds', 'DVRs'," ""Doe's"""," ""doe's"""," ""doer's"""," ""door's"""," ""due's"""," ""DA's"""," ""DD's"""," ""Dy's"""," ""Ti's""", 'days', 'dice', 'tars'," ""ti's"""," ""dirt's"""," ""Sir's"""," ""fir's"""," ""sir's"""," ""DOS's"""," ""Dee's"""," ""Dow's"""," ""dais's"""," ""dear's"""," ""deer's"""," ""duo's"""," ""tie's"""," ""tier's"""," ""tor's"""," ""Ir's"""," ""Dirk's"""," ""dirk's"""," ""dig's"""," ""din's"""," ""dip's"""," ""Mir's"""," ""air's"""," ""Day's"""," ""day's"""," ""dew's"""," ""tar's"""," ""DDS's""",,,,,,,,,,,,,,,,,
deque,'toque', 'tuque', 'Duke', 'duke', 'deuce', 'Dee', 'Que', 'due', 'deluge', 'dengue', 'DEC', 'Dec', 'deg', 'demur', 'dug', 'segue', 'torque', 'Decker', 'decor', 'dogie', 'Doug', 'deck', 'dike', 'doge', 'dyke', 'cheque', 'debug', 'Deere', 'Defoe', 'deice', 'pique', 'Decca', 'Dodge', 'decay', 'decoy', 'dirge', 'dodge', 'deer', 'dew', 'die', 'Duse', 'deed', 'deem', 'deep', 'dude', 'duel', 'dues', 'duet', 'dune', 'dupe', 'DE', 'Du', 'duck', 'educ', 'edge', 'Derek', 'DC', 'DJ', 'dc', 'DEA', 'DOE', 'DUI', 'Doe', 'Tue', 'cue', 'doe', 'duh', 'duo', 'gee', 'qua', 'queue', 'quo', 'tee'," ""Dee's"""," ""due's""",,,,,,,,,,,,,,,,,,,,,,,,,
operations,'operations'," ""operation's""", 'operation', 'ope rations', 'ope-rations', 'operational', 'orations', 'iterations'," ""oration's"""," ""iteration's""", 'options'," ""aeration's"""," ""cooperation's""", 'reparations', 'separations', 'apparitions'," ""oppression's"""," ""option's"""," ""reparation's"""," ""separation's"""," ""apparition's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last,'last', 'LSAT', 'least', 'lats', 'lasts', 'Las', 'Lat', 'lat', 'lest', 'list', 'lost', 'lust', 'blast', 'lase', 'lass', 'East', 'bast', 'cast', 'east', 'fast', 'hast', 'mast', 'past', 'vast', 'wast', 'lased', 'lusty', 'LSD', 'lash', 'la st', 'la-st'," ""La's"""," ""la's"""," ""last's"""," ""Lat's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contains,'contains', 'contain', 'containers', 'contagions', 'continues'," ""container's""", 'container'," ""contagion's"""," ""Conan's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defined,'defined', 'defines', 'defied', 'define', 'defend', 'definer', 'defiled', 'refined', 'deafened', 'divined', 'definite', 'denied', 'deified', 'defiant', 'dined', 'fined', 'defender', 'defenced', 'defended', 'defensed', 'redefined',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
records,'records'," ""record's""", 'record', 'rectors', 'rewords', 'recorders'," ""rector's""", 'rectos', 'regards', 're cords', 're-cords', 'reactors', 'recross'," ""recto's"""," ""reactor's""", 'cords'," ""recorder's""", 'recorder', 'ripcords', 'recurs'," ""regard's""", 'reorgs', 'rerecords'," ""Regor's"""," ""cord's"""," ""rectory's"""," ""ripcord's"""," ""reorg's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,'None', 'Nine', 'Nonce', 'Nome', 'Bone', 'Non', 'Noe', 'One', 'Nona', 'Neon', 'Noon', 'Noun', 'Nong', 'Cone', 'Done', 'Gone', 'Hone', 'Lone', 'Node', 'Nope', 'Nose', 'Note', 'Pone', 'Tone', 'Zone', 'Nina', 'Nan', 'Nun', 'Nana',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
param,parameter, 'para', 'Priam', 'paras', 'prim', 'prom', 'Purim', 'pa ram', 'pa-ram', 'par am', 'par-am', 'prams', 'Pam', 'RAM', 'prime', 'promo', 'ram', 'paramour', 'pariah'," ""para's""", 'Parr', 'Perm', 'pare', 'perm', 'pray'," ""pram's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
types,'types'," ""type's""", 'typed', 'type', 'tapes', 'typos', 'hypes', 'tykes', 'tyres', 'dupes'," ""tape's""", 'tapers', 'tepees', 'topees'," ""typo's""", 'taps', 'tips', 'tops'," ""taupe's""", 'dopes'," ""tap's""", 'tapas'," ""tip's"""," ""top's"""," ""Tupi's"""," ""dupe's"""," ""taper's"""," ""tepee's"""," ""Tyre's"""," ""hype's"""," ""tyke's"""," ""tyre's"""," ""dope's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desc,description,descending, 'Dec', 'desk', 'disc', 'disco', 'disk', 'dusk', 'SEC', 'Sec', 'sec', 'docs'," ""Dec's"""," ""DC's"""," ""doc's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int,'int', 'Ont', 'into', 'nit', 'Inst', 'inst', 'IN', 'IT', 'In', 'It', 'NT', 'in', 'it', 'Ind', 'ant', 'ind', 'Indy', 'innit', 'onto', 'unit', 'unto', 'dint', 'hint', 'lint', 'mint', 'pint', 'tint', 'Ina', 'inn', 'ING', 'INS', 'Inc', 'TNT', 'inc', 'inf', 'ink', 'ins', 'Inuit'," ""ain't""", 'aunt', 'inert', 'inter', 'ante', 'anti', 'and', 'end'," ""isn't"""," ""In's"""," ""in's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sz,size, 'AZ', 'dz', 'S', 'Z', 's', 'z', 'XS', 'Suzy', 'size', 'SA', 'SE', 'SO', 'SS', 'SW', 'Se', 'Si', 'so', 'CZ', 'Hz', 'NZ', 'Oz', 'SC', 'SD', 'SF', 'SJ', 'SK', 'ST', 'Sb', 'Sc', 'Sm', 'Sn', 'Sp', 'Sq', 'Sr', 'St', 'oz', 'sf', 'sq', 'st', 'Suez', 'SOS', 'SOs', 'sis', 'sh', 'sax', 'sex', 'six', 'seize', 'sizer', 'SARS', 'X', 'saws', 'says', 'x'," ""Z's""", 'Zn', 'Zr', 'swiz', 'As', 'BS', 'Cs', 'Es', 'HS', 'KS', 'Ks', 'MS', 'Ms', 'NS', 'OS', 'Os', 'PS', 'US'," ""X's""", 'Xes', 'as', 'cs', 'es', 'gs', 'is', 'ks', 'ls', 'ms', 'rs', 'ts', 'us', 'vs', 'xis'," ""S's""", 'Sir', 'Sue', 'Sui', 'saw', 'say', 'sci', 'sea', 'see', 'sew', 'sir', 'sou'
equals,'equals'," ""equal's""", 'equal', 'equalise', 'EULAs', 'equaliser', 'quails', 'equally', 'Equuleus', 'equalize', 'aquas', 'coequals'," ""aqua's"""," ""quail's"""," ""Aquila's"""," ""Eula's"""," ""coequal's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calls,'calls', 'Callas'," ""call's""", 'callas', 'callus', 'calks', 'calla', 'call'," ""Cal's""", 'culls', 'galls', 'coals', 'calms', 'Walls', 'balls', 'cells', 'falls', 'halls', 'malls', 'palls', 'walls', 'Claus'," ""calla's""", 'callers', 'callous', 'class', 'claws', 'Calais'," ""Cali's"""," ""Carl's""", 'Carlos'," ""Gall's"""," ""coal's"""," ""cull's"""," ""gall's"""," ""Cl's""", 'cols', 'gals', 'colas'," ""Col's""", 'Gaels', 'Gauls', 'coils', 'cools', 'cowls', 'curls'," ""gal's""", 'galas', 'gales', 'gills', 'gulls', 'jails', 'jells', 'kills', 'cal ls', 'cal-ls'," ""calk's"""," ""cola's"""," ""Carla's"""," ""Carlo's"""," ""Carly's"""," ""all's"""," ""Callao's"""," ""Callas's"""," ""Callie's"""," ""Clay's"""," ""caller's"""," ""callus's"""," ""claw's"""," ""clay's"""," ""calf's"""," ""calm's"""," ""Ball's"""," ""Gallo's"""," ""Hall's"""," ""Wall's"""," ""ball's"""," ""cell's"""," ""fall's"""," ""hall's"""," ""mall's"""," ""pall's"""," ""wall's"""," ""Cole's"""," ""Gael's"""," ""Gail's"""," ""Gale's"""," ""Gaul's"""," ""Gill's"""," ""Jill's"""," ""Kali's"""," ""Karl's"""," ""coil's"""," ""cool's"""," ""cowl's"""," ""curl's"""," ""gala's"""," ""gale's"""," ""gill's"""," ""gull's"""
cpus,'cups'," ""CPU's""", 'cps', 'CPU', 'pus', 'coups'," ""CPI's""", 'caps', 'cops'," ""cup's""", 'opus', 'carpus', 'corpus', 'coypus'," ""CPA's"""," ""cap's""", 'capes', 'capos'," ""cop's""", 'copes', 'GPS'," ""copy's"""," ""GP's"""," ""coup's"""," ""coypu's"""," ""Cu's"""," ""Pu's"""," ""cape's"""," ""capo's"""," ""cope's"""," ""CPR's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mem,memory,memorial, 'Mme', 'men', 'EM', 'ME', 'MM', 'Me', 'em', 'me', 'mm', 'mam', 'mom', 'mum', 'mime', 'MGM', 'meh', 'mew', 'Dem', 'Meg', 'Mel', 'REM', 'fem', 'gem', 'hem', 'med', 'meg', 'mes', 'met', 'rem', 'Mimi', 'maim', 'mama', 'Mex'," ""ma'am""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resources,'resources'," ""resource's""", 'resourced', 'resource', 're sources', 're-sources', 'sources'," ""source's"""," ""recourse's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utils,'utilise', 'URLs', 'atolls', 'idols', 'tails', 'tiles', 'tills', 'toils', 'Atlas', 'atlas', 'Urals', 'stiles', 'stills', 'utilize', 'Otis'," ""UT's""", 'Utes', 'ails', 'oils', 'utes', 'Tulsa'," ""Uriel's""", 'idles'," ""Ute's"""," ""ute's""", 'atilt'," ""atoll's""", 'evils'," ""idol's"""," ""tail's"""," ""till's"""," ""toil's""", 'tolls', 'tools', 'its', 'titles'," ""Tl's"""," ""Tull's""", 'ills', 'utilised', 'curtails'," ""Ito's"""," ""Italy's"""," ""Ural's""", 'autos'," ""it's""", 'outliers'," ""still's"""," ""tile's""", 'tilers', 'outlaws', 'outlays'," ""Udall's""", 'dials', 'dills'," ""oil's""", 'tales', 'talus', 'teals', 'tells', 'outs', 'utilises', 'utilizes', 'Nautilus', 'nautilus', 'vitals', 'Ats', 'Ellis', 'IDs'," ""auto's""", 'delis', 'duels', 'dulls', 'entails', 'ids'," ""Attila's"""," ""stile's"""," ""Otis's"""," ""Utah's"""," ""it'll"""," ""Emil's"""," ""evil's"""," ""out's"""," ""toll's"""," ""tool's"""," ""At's"""," ""Utrillo's"""," ""ill's"""," ""idle's"""," ""Audi's"""," ""tole's"""," ""Ali's"""," ""Eli's"""," ""title's"""," ""Dial's"""," ""Tell's"""," ""dial's"""," ""dill's"""," ""teal's"""," ""Ila's"""
support,'support', 'supports', 'sport', 'supporter', 'seaport', 'sup port', 'sup-port', 'spurt', 'sporty', 'Supt', 'spot', 'supt'," ""support's""", 'supported', 'spout', 'supper',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dr,doctor,dear, 'RD', 'Rd', 'rd', 'DAR', 'DE', 'DVR', 'Dir', 'Fr', 'Sr', 'fr', 'D', 'R', 'd', 'r', 'tr', 'Dare', 'Dora', 'Drew', 'dare', 'dire', 'dory', 'drew', 'FDR', 'DA', 'DD', 'DI', 'Di', 'Du', 'Dy', 'RR', 'dd', 'do', 'yr', 'BR', 'Br', 'Cr', 'DC', 'DH', 'DJ', 'DP', 'Gr', 'HR', 'Jr', 'Kr', 'Lr', 'Mr', 'NR', 'PR', 'Pr', 'Zr', 'dB', 'db', 'dc', 'dz', 'gr', 'hr', 'jr', 'pr', 'qr', 'draw', 'dray', 'try', 'AR', 'Ar', 'ER', 'Er', 'Ir', 'OR', 'Ur', 'er', 'or'," ""D's""",,,,,,,,,,,,,,,,,,,,,,,,,,
arrays,'arrays'," ""array's""", 'arras', 'array', 'areas'," ""area's"""," ""arras's""", 'arrears'," ""Ara's""", 'arias', 'auras'," ""aria's""", 'arrows'," ""aura's"""," ""arrow's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
util,utility,utilities,utilization, 'ital', 'Uriel', 'Italy', 'URL', 'atoll', 'idol'," ""it'll""", 'tail', 'tile', 'till', 'toil', 'IL', 'Tl', 'Tull', 'UL', 'UT', 'Ut', 'futile', 'atilt', 'Attila', 'STOL', 'Ural', 'VTOL', 'stile', 'still', 'Udall', 'Ute', 'ail', 'oil', 'tel', 'ute', 'UTC', 'Utah', 'Emil', 'Otis'," ""UT's""", 'Utes', 'evil', 'utes'," ""Ute's"""," ""ute's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tvm,trivandrum, 'TV', 'Tm', 'TVA', 'Tim', 'Tom', 'tam', 'tom', 'tum', 'TQM', 'TVs', 'Tami', 'tame', 'team', 'teem', 'term', 'time', 'tomb', 'tome'," ""TV's""", 'FM', 'Fm', 'RTFM',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constantinople,'Constantinople'," ""Constantinople's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
