if the receiver is not included in the contract @$ unfreeze frozen balance for this <PLACE_HOLDER> . otherwise @$ unfreeze delegated frozen balance provided this <PLACE_HOLDER> .,if ( ! array utils . is empty ( receiver address ) && dynamic store . supportdr ( ) ) { if ( arrays . equals ( receiver address @$ owner address ) ) { throw new contract validate exception ( __str__ ) ; } if ( ! decode util . address valid ( receiver address ) ) { throw new contract validate exception ( __str__ ) ; } account capsule receiver capsule = account store . get ( receiver address ) ; if ( dynamic store . get allow tvm constantinople ( ) == __num__ && receiver capsule == null ) { string readable receiver address = string util . create readable string ( receiver address ) ; throw new contract validate exception ( __str__ + readable,balance provided address,fail,obj,utils <SEP> supportdr <SEP> arrays <SEP> equals <SEP> str <SEP> util <SEP> str <SEP> tvm <SEP> constantinople <SEP> num <SEP> util <SEP> str
for every time when a user has not selected a <PLACE_HOLDER> but a basic block this breaks . as it does throw a null pointer exception .,first function . load ( ) ; second function . load ( ) ; final creation thread creation thread = new creation thread ( module @$ source block @$ target block @$ first function @$ second function ) ; progress dialog . show ( plugin interface . get main window ( ) . get frame ( ) @$ __str__ @$ creation thread ) ; if ( ( ! ( creation thread . threw exception ( ) ) ) && ( creation thread . get created view ( ) == null ) ) { message box . show information ( plugin interface . get main window ( ) . get frame ( ) @$ __str__ ) ; } else { new thread ( ) { @ override public void,user selected function,success,obj,second <SEP> second <SEP> dialog <SEP> plugin <SEP> str <SEP> created <SEP> plugin <SEP> str
collator.get keyword <PLACE_HOLDER> return the same contents for both commonly used true and false .,== all . length ) { match all = true ; for ( int j = __num__ ; j < pref . length ; j ++ ) { boolean found match = false ; for ( int k = __num__ ; k < all . length ; k ++ ) { if ( pref [ j ] . equals ( all [ k ] ) ) { found match = true ; break ; } } if ( ,key return contents,fail,sub,int <SEP> num <SEP> pref <SEP> int <SEP> num <SEP> pref <SEP> equals <SEP> errln <SEP> str <SEP> loc <SEP> str <SEP> arrays <SEP> str <SEP> arrays <SEP> pref
<PLACE_HOLDER> contains an object from another thread .,list . add ( obj from another thread . get ( ) ) ;,list contains object,success,sub,obj
the aws region provider chain that is used by default throws an <PLACE_HOLDER> instead of returning null when the region is not defined . for that reason @$ we have to support both throwing an <PLACE_HOLDER> and returning null as the region not being defined .,return null ;,chain throws exception,success,obj,None
if bolt has not finished <PLACE_HOLDER> or was not exactly once mode @$ just process the tuple immediately,if ( ! init || ( batch cache != null && ! batch cache . is exactly once mode ( ) ) ) { } else { pending batch batch = batch cache . get next pending batch ( last successful batch ) ; if ( batch != null ) { list < byte [ ] > pending msgs = batch . get tuples ( ) ; while ( pending msgs != null ) { for ( byte [ ] msg : pending msgs ) { receiver . deserialize tuple ( deserializer @$ msg @$ queue ) ; } pending msgs = batch . get tuples ( ) ; } } kryo input . set buffer ( data ) ; kryo input . set position ( __num__ ),bolt finished initialization,success,obj,init <SEP> last <SEP> msgs <SEP> tuples <SEP> msgs <SEP> msgs <SEP> deserialize <SEP> tuple <SEP> deserializer <SEP> msgs <SEP> tuples <SEP> kryo <SEP> kryo <SEP> num
this is tough for hotspot @$ but graal eliminates all <PLACE_HOLDER> .,consume ( el ) ;,graal eliminates calls,fail,obj,el
make sure the subject has a <PLACE_HOLDER>,assert false ( client principals . is empty ( ) ) ;,subject has principal,success,obj,principals
<PLACE_HOLDER> to the old behavior @$ allowing implementations to override .,map to map from id ( data @$ obj ) ;,objects allowing implementations,fail,sub,obj
the map reduce tokens are provided so that <PLACE_HOLDER> can spawn jobs if they wish to . the <PLACE_HOLDER> authenticate to the job tracker via the map reduce delegation tokens .,if ( system . getenv ( __str__ ) != null ) { conf . set ( __str__ @$ system . getenv ( __str__ ) ) ; } return conf ;,client spawn jobs,fail,sub,getenv <SEP> str <SEP> conf <SEP> str <SEP> getenv <SEP> str <SEP> conf
bad value prevents <PLACE_HOLDER> to next .,trigger action in cell editor ( key event . vk_tab ) ; assert is editing field ( __num__ @$ dt col num ) ;,value prevents move,success,obj,vktab <SEP> editing <SEP> num <SEP> num
turn the screen off . a black surface is already hiding the <PLACE_HOLDER> of the screen .,if ( m power state . get color fade level ( ) == __num__ ) { set screen state ( display . state_off ) ; m pending screen off = false ; m power state . dismiss color fade resources ( ) ; } else if ( perform screen off transition && m power state . prepare color fade ( m context @$ m color fade fades config ? color fade . mode_fade : color fade . mode_cool_down ) && m power state . get screen state ( ) != display . state_off ) { m color fade off animator . start ( ) ; } else { m color fade off animator . end ( ) ; },surface hiding area,fail,obj,num <SEP> stateoff <SEP> resources <SEP> fades <SEP> config <SEP> modefade <SEP> modecooldown <SEP> stateoff
get object can return <PLACE_HOLDER> if constraints were specified but not met,if ( s3 object == null ) return null ; output stream output stream = null ; try { output stream = new buffered output stream ( new file output stream ( destination file ) ) ; byte [ ] buffer = new byte [ __num__ * __num__ ] ; int bytes read ; while ( ( bytes read = s3 object . get object content ( ) . read ( buffer ) ) > - __num__ ) { output stream . write ( buffer @$ __num__ @$ bytes read ) ; } } catch ( io exception e ) { throw new sdk client exception ( __str__ + e . get message ( ) @$ e ) ; } finally { close quietly ( output stream @$,object return null,success,obj,s3 <SEP> buffered <SEP> num <SEP> num <SEP> int <SEP> bytes <SEP> bytes <SEP> s3 <SEP> content <SEP> num <SEP> num <SEP> bytes <SEP> io <SEP> sdk <SEP> str <SEP> close
<PLACE_HOLDER> means requery the adapter for this @$ it does n't have a valid width .,if ( ! lp . is decor && lp . height factor == __num__ ) { final item info ii = info for child ( child ) ; if ( ii != null ) { lp . height factor = ii . height factor ; lp . position = ii . position ; } },0 means adapter,success,sub,num <SEP> ii <SEP> ii <SEP> ii <SEP> ii
zero <PLACE_HOLDER> means a run,offset + ref ++ ] != input [ in offset + ip ++ ] ) { break ; } if ( input [ in offset + ref ++ ] != input [ in offset + ip ++ ] ) { break ; } if ( input [ in offset + ref ++ ] != input [ in offset + ip ++ ] ) { break ; } if ( input [ in offset + ref ++ ] != input [ in offset + ip ++ ] ) { break ; } while ( ip < ip bound ) { if ( input [ in offset + ref ++ ] != input [ in offset + ip ++ ] ) { break ; } } break ; } },address means run,fail,sub,ip <SEP> ip <SEP> ip <SEP> ip <SEP> ip <SEP> ip <SEP> ip
localized <PLACE_HOLDER> file name,args . filtered resources provider = new resources filter ( aapt target . with flavors ( internal flavor . of ( __str__ ) ) @$ filesystem @$ immutable sorted set . of ( resource1 @$ resource2 ) @$ immutable sorted set . of ( resource1 @$ resource2 ) @$ graph builder @$ immutable list . of ( resource1 . get res ( ) @$ resource2 . get res ( ) ) @$ immutable set . of ( ) @$ immutable set . of ( ) @$ null @$ resources filter . resource compression mode . disabled @$ filter resources steps . resource filter . empty_filter @$ optional . empty ( ) ) ;,string file name,success,sub,args <SEP> filtered <SEP> resources <SEP> resources <SEP> aapt <SEP> flavors <SEP> flavor <SEP> str <SEP> filesystem <SEP> resource1 <SEP> resource2 <SEP> resource1 <SEP> resource2 <SEP> resource1 <SEP> res <SEP> resource2 <SEP> res <SEP> resources <SEP> resources <SEP> steps <SEP> emptyfilter
clear references to <PLACE_HOLDER> @$ this should orphan the <PLACE_HOLDER> which should in turn trigger orphan removal logic .,team . set one vone player ( null ) ; team2 . set one vone player ( null ) ; tx . commit ( ) ; s . close ( ) ; s = open session ( ) ; tx = s . begin transaction ( ) ; count = ( ( long ) s . create query ( __str__ ) . iterate ( ) . next ( ) ) . int value ( ) ; assert equals ( __str__ + count @$ count @$ __num__ ) ; tx . commit ( ) ; s . close ( ) ;,references orphan players,success,obj,vone <SEP> team2 <SEP> vone <SEP> tx <SEP> close <SEP> tx <SEP> str <SEP> int <SEP> equals <SEP> str <SEP> num <SEP> tx <SEP> close
<PLACE_HOLDER> 1 sends a message to the bare jid of <PLACE_HOLDER> 0,chat chat = get connection ( __num__ ) . get chat manager ( ) . create chat ( get barejid ( __num__ ) @$ null ) ; chat . send message ( __str__ ) ; chat . send message ( __str__ ) ;,user sends message,success,sub,num <SEP> barejid <SEP> num <SEP> str <SEP> str
<PLACE_HOLDER> @$ for each set of paths that have a common input format @$ build a map of mappers to the paths they 're used for,for ( path path : paths ) { class < ? extends mapper > mapper class = mapper map . get ( path ) ; if ( ! mapper paths . contains key ( mapper class ) ) { mapper paths . put ( mapper class @$ new linked list < path > ( ) ) ; } mapper paths . get ( mapper class ) . add ( path ) ; },now build map,success,sub,paths <SEP> extends <SEP> mapper <SEP> mapper <SEP> mapper <SEP> mapper <SEP> paths <SEP> contains <SEP> mapper <SEP> mapper <SEP> paths <SEP> mapper <SEP> linked <SEP> mapper <SEP> paths <SEP> mapper
the text lines total height is larger than this view @$ snap <PLACE_HOLDER> to the top and bottom of the view .,if ( line1 height + line2 height > height ) { if ( child != m text line1 ) { vertical offset = height - line2 height ; } } else { vertical offset = ( height - line1 height - line2 height ) / __num__ ; if ( child == m text line2 ) { vertical offset += line1 height ; if ( m suggestion . has answer ( ) && m suggestion . get answer ( ) . get second line ( ) . has image ( ) ) { vertical offset += get resources ( ) . get dimension pixel offset ( r . dimen . omnibox_suggestion_answer_line2_vertical_spacing ) ; } } if ( line1 height != line2 height ) { vertical offset += ( line2,lines snap them,success,obj,line1 <SEP> line2 <SEP> line1 <SEP> line2 <SEP> line1 <SEP> line2 <SEP> num <SEP> line2 <SEP> line1 <SEP> second <SEP> resources <SEP> dimen <SEP> omniboxsuggestionanswerline2verticalspacing <SEP> line1 <SEP> line2 <SEP> line2
delete <PLACE_HOLDER> is complete before <PLACE_HOLDER> so not relevant @$ get next delete <PLACE_HOLDER>,delete range = delete range it . has next ( ) ? delete range it . next ( ) : null ; break ; case range1_completely_after_range2 :,range get range,success,sub,range1completelyafterrange2
using <PLACE_HOLDER> get an instance of document builder,from attribute ( el @$ __str__ ) ; throw new configuration changed exception ( __str__ + config version ) ; } } catch ( sax exception ex ) { logger . get logger ( notificationsxml response . class . get name ( ) ) . log ( level . severe @$ null @$ ex ) ; } catch ( io exception ex ) { logger . get logger ( notificationsxml response . class . get name ( ) ) . log ( level . severe @$ null @$ ex ) ; } catch ( parser configuration exception ex ) { logger . get logger ( notificationsxml response . class . get name ( ) ) . log ( level . severe @$ null @$ ex ) ; },factory get instance,success,sub,el <SEP> str <SEP> str <SEP> config <SEP> notificationsxml <SEP> io <SEP> notificationsxml <SEP> parser <SEP> notificationsxml
validate inode tree <PLACE_HOLDER> match given <PLACE_HOLDER> .,for ( mutable inode < ? > node : journaled ) { assert true ( tree entries . contains ( node . to journal entry ( ) ) ) ; },entries match entries,success,obj,inode <SEP> journaled <SEP> entries <SEP> contains
req.get remote host returns ip <PLACE_HOLDER> @$ try to resolve hostname to be consistent with raw protocol .,try { final inet address client address = inet address . get by name ( client host name ) ; client host name = client address . get host name ( ) ; } catch ( unknown host exception e ) { logger . info ( __str__ @$ client host name @$ e . get message ( ) ) ; },returns ip address,success,obj,inet <SEP> inet <SEP> str
in theory node name ca n't be null but better be careful who knows <PLACE_HOLDER> other implementations may be doing ? ...,if ( get node name ( ) == null ) { if ( arg . get node name ( ) != null ) { return false ; } } else if ( ! get node name ( ) . equals ( arg . get node name ( ) ) ) { return false ; } if ( get local name ( ) == null ) { if ( arg . get local name ( ) != null ) { return false ; } } else if ( ! get local name ( ) . equals ( arg . get local name ( ) ) ) { return false ; } if ( get namespaceuri ( ) == null ) { if ( arg . get namespaceuri ( ),implementations doing what,success,obj,arg <SEP> equals <SEP> arg <SEP> arg <SEP> equals <SEP> arg <SEP> namespaceuri <SEP> arg <SEP> namespaceuri
set timestamp before moving to <PLACE_HOLDER>root @$ so we can avoid race condition <PLACE_HOLDER> remove the file before setting timestamp,sum . equals ignore case ( checksum for ( cm path @$ fs ) ) ) { success = false ; } else { switch ( type ) { case move : { log . info ( __str__ @$ path . to string ( ) @$ cm path . to string ( ) ) ; success = fs . rename ( path @$ cm path ) ; break ; } case copy : { log . info ( __str__ @$ path . to string ( ) @$ cm path . to string ( ) ) ; success = file utils . copy ( fs @$ path @$ fs @$ cm path @$ false @$ true @$ conf ) ; break ; } default : break ; } },exception remove file,fail,sub,equals <SEP> fs <SEP> str <SEP> fs <SEP> str <SEP> utils <SEP> fs <SEP> fs <SEP> conf
export the data @$ <PLACE_HOLDER> causes a file chooser to be shown,execute on swing without blocking ( ( ) -> key binding utils . export key bindings ( options ) ) ; file selected file = find and test file chooser ( null @$ test_filename ) ; return selected file ;,which causes chooser,success,sub,blocking <SEP> utils <SEP> bindings <SEP> options <SEP> selected <SEP> testfilename <SEP> selected
<PLACE_HOLDER> should not impact result,current min = double min kudaf . aggregate ( null @$ current min ) ; assert that ( __num__ @$ equal to ( current min ) ) ;,null impact result,success,sub,kudaf <SEP> num
starting the job master should have read the <PLACE_HOLDER>,try { final completed checkpoint savepoint checkpoint = completed checkpoint store . get latest checkpoint ( false ) ; assert that ( savepoint checkpoint @$ matchers . not null value ( ) ) ; assert that ( savepoint checkpoint . get checkpointid ( ) @$ is ( savepoint id ) ) ; } finally { rpc utils . terminate rpc endpoint ( job master @$ testing timeout ) ; },master read savepoint,success,obj,completed <SEP> savepoint <SEP> completed <SEP> savepoint <SEP> matchers <SEP> savepoint <SEP> checkpointid <SEP> savepoint <SEP> rpc <SEP> utils <SEP> rpc <SEP> endpoint
verify that the archive rule has the correct <PLACE_HOLDER> : the object files from our sources .,rule . get native linkable input ( cxx platform @$ linker . linkable dep type . static @$ graph builder @$ unconfigured target configuration . instance ) ; build rule static rule = graph builder . get rule ( cxx description enhancer . create static library build target ( target @$ cxx platform . get flavor ( ) @$ pic type . pdc ) ) ; assert not null ( static rule ) ; assert equals ( immutable set . of ( cxx source rule factorypdc . create compile build target ( __str__ ) @$ cxx source rule factorypdc . create compile build target ( gen source name ) ) @$ static rule . get build deps ( ) . stream ( ) . map ( build rule,rule has deps,success,obj,linkable <SEP> cxx <SEP> linker <SEP> linkable <SEP> unconfigured <SEP> cxx <SEP> cxx <SEP> flavor <SEP> pdc <SEP> equals <SEP> cxx <SEP> factorypdc <SEP> str <SEP> cxx <SEP> factorypdc <SEP> deps
only the main task stack change notification requires a <PLACE_HOLDER> .,m handler . send message delayed ( msg @$ notify_task_stack_change_listeners_delay ) ;,notification requires delivery,fail,obj,delayed <SEP> notifytaskstackchangelistenersdelay
do abc tag <PLACE_HOLDER> does not have name,continue ;,abc tag plugin,fail,obj,None
our randomly generated <PLACE_HOLDER> significantly .,return name . length ( ) == __num__ ;,our generated name,fail,obj,num
no context class <PLACE_HOLDER> @$ try the current class <PLACE_HOLDER>,in = ss . get resource as stream ( cl @$ service ) ;,loader try loader,success,sub,None
this call does the right <PLACE_HOLDER> with a null transaction task queue,if ( ! m_complete msg . is restart ( ) ) { do commonspi complete actions ( ) ; log todr ( site connection . getdr gateway ( ) ) ; } else { m_txn state . set begin undo token ( site . k invalid undo token ) ; },call does thing,success,obj,mcomplete <SEP> commonspi <SEP> actions <SEP> todr <SEP> getdr <SEP> mtxn
add parameters from the configuration in the job trace the reason why the job configuration parameters @$ as seen in the jobconf file @$ are added first because the specialized <PLACE_HOLDER> obtained from rumen should override the job conf <PLACE_HOLDER> .,for ( map . entry < object @$ object > entry : job . get job properties ( ) . get value ( ) . entry set ( ) ) { job conf . set ( entry . get key ( ) . to string ( ) @$ entry . get value ( ) . to string ( ) ) ; },parameters override values,fail,sub,properties <SEP> conf
no more room to display the comments below ; do n't process <PLACE_HOLDER>,if ( total comments found > max display lines ) { return ; },comments process them,success,obj,comments <SEP> lines
let the hash builder <PLACE_HOLDER> reduce their accounted memory,partitions no longer needed . set ( null ) ; lock . write lock ( ) . lock ( ) ; try { arrays . fill ( partitions @$ null ) ; lookup source supplier = null ; close cached lookup sources ( ) ; } finally { lock . write lock ( ) . unlock ( ) ; },partitions reduce memory,fail,sub,partitions <SEP> longer <SEP> needed <SEP> arrays <SEP> partitions <SEP> close <SEP> cached <SEP> sources
illegal access error is expected note : <PLACE_HOLDER> stops context right after shutdown initiated . it is problematic to see log output system out could help,logger . warn ( __str__ + e . get message ( ) ) ;,user stops right,fail,sub,str
some binary files have <PLACE_HOLDER>,while ( c != __str__ ) { if ( c != __str__ ) sb . append ( c ) ; c = ( char ) buffer . get ( ) ; },files have newline,success,obj,str <SEP> str <SEP> sb
explicit <PLACE_HOLDER> provider implies <PLACE_HOLDER>,config . get ( key_authorizer ) . as string ( ) . if present ( value -> { if ( ! config . get ( key_authorize ) . exists ( ) ) { builder . authorize ( true ) ; } } ) ; return builder . build ( ) ;,provider implies atz,success,obj,config <SEP> keyauthorizer <SEP> config <SEP> keyauthorize <SEP> exists
bean may have acquired new weak <PLACE_HOLDER>,target = result . get node ( ) ; assert . assert equals ( count ++ @$ result . get value ( ) . int value ( ) ) ;,bean acquired affinity,success,obj,equals <SEP> int
<PLACE_HOLDER> must have the same type,if ( node1 . get class ( ) != node2 . get class ( ) ) { return false ; } string image1 = node1 . get image ( ) ; string image2 = node2 . get image ( ) ;,image have type,fail,sub,node1 <SEP> node2 <SEP> image1 <SEP> node1 <SEP> image2 <SEP> node2
iterate through all source <PLACE_HOLDER> to make sure we are generating a complete set of source folders for the source <PLACE_HOLDER> .,) . get parent ( ) ; if ( path elements . is empty ( ) ) { continue ; } while ( directory != null && directory . get file name ( ) != null && ! path elements . contains ( directory . get file name ( ) . to string ( ) ) ) { directory = directory . get parent ( ) ; } if ( directory == null || directory . get file name ( ) == null ) { continue ; } string directory path = directory . to string ( ) ; if ( ! directory path . ends with ( __str__ ) ) { directory path += __str__ ; } src folders . add ( directory path ) ; },paths generating set,success,sub,elements <SEP> elements <SEP> contains <SEP> ends <SEP> str <SEP> str <SEP> src <SEP> folders
quick exit : if the <PLACE_HOLDER> does not support encryption @$ we can exit early .,if ( ! is encryption supported ( ) ) { return device policy manager . encryption_status_unsupported ; },device support encryption,fail,sub,supported <SEP> encryptionstatusunsupported
make sure that the pattern matches a <PLACE_HOLDER> by one .,if ( ! b . is java constant ( ) ) { return null ; } java constant b cst = b . as java constant ( ) ; long b value ; if ( b cst . get java kind ( ) == java kind . int ) { b value = b cst . as int ( ) ; } else if ( b cst . get java kind ( ) == java kind . long ) { b value = b cst . as long ( ) ; } else { return null ; } if ( b value == - __num__ ) { return builder -> get arithmeticlir generator ( ) . emit get mask up to lowest set bit ( operand ( a,pattern matches subtraction,success,obj,int <SEP> int <SEP> num <SEP> arithmeticlir <SEP> lowest
some <PLACE_HOLDER> to not crash the chartbuilding with emtpy data,if ( m max elements == __num__ ) { m max elements = __num__ ; } if ( m mcount == __num__ ) { m mcount = __num__ ; } if ( m first element == m last element ) { m first element = __num__ ; m last element = __num__ ; } if ( m max cards == __num__ ) { m max cards = __num__ ; } return list . size ( ) > __num__ ;,adjustments crash chartbuilding,success,sub,elements <SEP> num <SEP> elements <SEP> num <SEP> mcount <SEP> num <SEP> mcount <SEP> num <SEP> last <SEP> num <SEP> last <SEP> num <SEP> cards <SEP> num <SEP> cards <SEP> num <SEP> num
1 st root <PLACE_HOLDER>,if ( parent == null ) { long next = ( ( long ) phase << phase_shift ) | adj ; if ( state . compare and set ( this @$ s @$ next ) ) break ; } else { main lock . lock ( ) ; try { if ( state == s ) { parent . do register ( __num__ ) ; do { phase = ( int ) ( root . state > > > phase_shift ) ; } while ( ! state . compare and set ( this @$ state @$ ( ( long ) phase << phase_shift ) | adj ) ) ; break ; } } finally { main lock . unlock ( ) ; } },st root registration,success,obj,phaseshift <SEP> adj <SEP> num <SEP> int <SEP> phaseshift <SEP> phaseshift <SEP> adj
bypass pe <PLACE_HOLDER> @$ but permit p es to complete ... valid docs wo n't care .,try { for ( ; ; ) { int c = getc ( ) ; if ( c == __str__ ) { c = getc ( ) ; if ( c != __str__ ) { if ( save comment text ) str tmp . append ( __str__ ) ; ungetc ( ) ; continue ; } next char ( __str__ @$ __str__ @$ null ) ; break one comment ; } if ( save comment text ) str tmp . append ( ( char ) c ) ; } } catch ( end of input exception e ) { if ( in . is internal ( ) ) { error ( __str__ @$ null ) ; } fatal ( __str__ ) ; },bypass pe tests,fail,obj,int <SEP> getc <SEP> str <SEP> getc <SEP> str <SEP> str <SEP> tmp <SEP> str <SEP> ungetc <SEP> str <SEP> str <SEP> str <SEP> tmp <SEP> str <SEP> str
setting volume on ui sounds stream <PLACE_HOLDER> also controls silent mode,if ( ( ( flags & audio manager . flag_allow_ringer_modes ) != __num__ ) || ( stream == get ui sounds stream type ( ) ) ) { set ringer mode ( get new ringer mode ( stream @$ index @$ flags ) @$ tag + __str__ @$ false ) ; },type controls mode,success,sub,flags <SEP> flagallowringermodes <SEP> num <SEP> sounds <SEP> flags <SEP> str
sequence <PLACE_HOLDER> compress writer,( fs @$ count @$ seed @$ block compressed file ) ; sort test ( fs @$ count @$ megabytes @$ factor @$ true @$ block compressed file ) ; check sort ( fs @$ count @$ seed @$ block compressed file ) ; merge test ( fs @$ count @$ seed @$ block compressed file @$ compression type . block @$ false @$ factor @$ megabytes ) ; check sort ( fs @$ count @$ seed @$ block compressed file ) ; merge test ( fs @$ count @$ seed @$ block compressed file @$ compression type . block @$ true @$ factor @$ megabytes ) ; check sort ( fs @$ count @$ seed @$ block compressed file ) ; fs . close ( ) ;,block . file compress writer,fail,sub,fs <SEP> compressed <SEP> fs <SEP> megabytes <SEP> compressed <SEP> fs <SEP> compressed <SEP> fs <SEP> compressed <SEP> megabytes <SEP> fs <SEP> compressed <SEP> fs <SEP> compressed <SEP> megabytes <SEP> fs <SEP> compressed <SEP> fs <SEP> close
note that we can not do any size checking here @$ as the correct component count depends on the drawing step . gl should catch such <PLACE_HOLDER> then @$ and we will report them to the user .,if ( m values != null ) { gles20 . gl bind buffer ( gles20 . gl_array_buffer @$ __num__ ) ; gles20 . gl vertex attrib pointer ( m index @$ m components @$ m type @$ m should normalize @$ m stride @$ m values ) ; } else { gles20 . gl bind buffer ( gles20 . gl_array_buffer @$ m vbo ) ; gles20 . gl vertex attrib pointer ( m index @$ m components @$ m type @$ m should normalize @$ m stride @$ m offset ) ; },note catch exceptions,fail,obj,values <SEP> gles20 <SEP> gl <SEP> gles20 <SEP> glarraybuffer <SEP> num <SEP> gles20 <SEP> gl <SEP> attrib <SEP> components <SEP> values <SEP> gles20 <SEP> gl <SEP> gles20 <SEP> glarraybuffer <SEP> vbo <SEP> gles20 <SEP> gl <SEP> attrib <SEP> components
model name can not use reserved <PLACE_HOLDER> @$ e.g . return,if ( is reserved word ( camelized name ) ) { final string model name = __str__ + camelized name ; logger . warn ( camelized name + __str__ + model name ) ; return model name ; },name use keyword,success,obj,camelized <SEP> str <SEP> camelized <SEP> camelized <SEP> str
copy local variables to event scope execution by value . this way @$ the event scope execution references a <PLACE_HOLDER> ' of the local variables,new sub process variable snapshotter ( ) . set variables snapshots ( sub process execution @$ event scope execution ) ;,execution references ' snapshot,fail,obj,process <SEP> snapshotter <SEP> variables <SEP> snapshots <SEP> process
the input method <PLACE_HOLDER> only throws security exceptions @$ so let 's log all others .,if ( ! ( e instanceof security exception ) ) { slog . wtf ( tag @$ __str__ @$ e ) ; } throw e ;,method throws exceptions,fail,sub,instanceof <SEP> str
<PLACE_HOLDER> account type,m ams . add account as user ( m mock account manager response @$ null @$ __str__ @$ null @$ true @$ null @$ user handle . user_system ) ;,response account type,success,sub,ams <SEP> str <SEP> usersystem
expression has n't nested <PLACE_HOLDER>,if ( tail == null ) { if ( field type instanceof composite type ) { ( ( composite type ) field type ) . get flat fields ( __str__ @$ offset @$ result ) ; } else { result . add ( new flat field descriptor ( offset @$ field type ) ) ; } } else { if ( field type instanceof composite type ) { ( ( composite type ) field type ) . get flat fields ( tail @$ offset @$ result ) ; } else { throw new invalid field reference exception ( __str__ + tail + __str__ + field type + __str__ ) ; } },expression nested field,success,obj,instanceof <SEP> fields <SEP> str <SEP> instanceof <SEP> fields <SEP> str <SEP> str <SEP> str
